,name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
0,Ceres,2.76916515450648,0.07600902910070946,10.59406704424526,80.30553156826473,73.597694115971,2.558683599692926,2.979646709320033,4.60820180153985,8822,0,1002,3.34,N,N,939.4,964.4 x 964.2 x 891.8,0.09,9.07417,62.6284,0.713,0.426,,C,G,0.12,1.59478,MBA,0.213885225911375,1683.145708012431,77.37209588584763
1,Pallas,2.772465921978979,0.2303368211958249,34.8362344173523,173.0800627473217,310.0488574270735,2.133864934636589,3.41106690932137,4.61644352793619,72318,0,8490,4.13,N,N,545,582x556x500,0.101,7.8132,14.3,0.635,0.284,,B,B,0.11,1.23324,MBA,0.2135033770917126,1686.155998578693,59.69913274585711
2,Juno,2.669149516961171,0.2569423201751032,12.98891912630602,169.8527598113392,248.1386261811234,1.983332047178912,3.354966986743431,4.36081392268951,72684,0,7104,5.33,N,N,246.596,,0.214,7.21,,0.824,0.433,,Sk,S,0.32,1.03454,MBA,0.2260188810715582,1592.787285262345,34.92501590589657
3,Vesta,2.361417895877277,0.08872145950956178,7.141770811873426,103.810804427096,150.7285412870121,2.151909453643047,2.570926338111508,3.62883713822373,24288,0,9325,3.2,N,N,525.4,572.6 x 557.2 x 446.4,0.4228,5.34212766,17.8,0.782,0.492,,V,V,0.32,1.13948,MBA,0.2716094015313151,1325.432764736216,95.86193620017684
4,Astraea,2.574248918169359,0.1910945084461823,5.36698822466432,141.5766046417785,358.6876072736373,2.082324086533669,3.066173749805049,4.13032295133768,63507,0,2916,6.85,N,N,106.699,,0.274,16.806,,0.826,0.411,,S,S,,1.09589,MBA,0.2386317716507723,1508.600457976086,282.3662890756166
5,Hebe,2.425159989654524,0.2030071093939073,14.73790110045524,138.6402027591858,239.8074902310437,1.932835270337001,2.917484708972046,3.77675483787179,62329,0,6034,5.71,N,N,185.18,,0.2679,7.2745,,0.822,0.399,,S,S,0.24,0.973965,MBA,0.2609717404699105,1379.459704532673,86.19792300103161
6,Iris,2.385333813853889,0.231205791651457,5.523651386735914,259.5632306889722,145.2651058349183,1.833830821068811,2.936836806638967,3.68410457424173,62452,0,5206,5.51,N,N,199.83,,0.2766,7.139,,0.855,0.484,,S,S,,0.8461,MBA,0.2675348279358816,1345.619195741793,140.4196555640237
7,Flora,2.20176418937401,0.1564992508158695,5.88695455961114,110.8893298901322,285.2874622174554,1.857189743263767,2.546338635484252,3.26711489815842,62655,0,2744,6.49,N,N,147.491,,0.226,12.865,,0.885,0.489,,,S,0.28,0.874176,MBA,0.301680936878935,1193.313716552361,194.8828951539766
8,Metis,2.385636535575458,0.1231142722068342,5.576815510839905,68.9085766994347,6.417369231417859,2.091930629748052,2.679342441402864,3.68480591875975,61821,0,2649,6.28,N,N,190,,0.118,5.079,,0.858,0.496,,,S,0.17,1.10691,MBA,0.2674839069134215,1345.875361826997,276.8616226896404
9,Hygiea,3.14153917911499,0.1124606576702566,3.831560034123068,283.2021668627339,312.3152062465516,2.78823961693484,3.49483874129514,5.56829098991105,62175,0,3409,5.43,N,N,407.12,,0.0717,27.63,7,0.696,0.351,,C,C,,1.77839,MBA,0.1770069641032358,2033.81828406501,152.1848512078909
10,Parthenope,2.453109375852077,0.1004722734579138,4.62988577124323,125.5465851288815,195.5503960775857,2.206639899819295,2.699578851884858,3.84223187706376,61755,0,5492,6.55,N,N,142.887,,0.191,13.7204,,0.837,0.417,,Sk,S,,1.19322,MBA,0.2565244146901342,1403.375193097538,278.930691793524
11,Victoria,2.334315086539652,0.220171582176053,8.373073917332468,235.4101693906456,69.64181934156238,1.820365240638787,2.848264932440518,3.56654261486272,61769,0,3090,7.24,N,N,115.087,,0.163,8.6599,,0.874,0.515,,L,S,0.22,0.824953,MBA,0.2763534295819691,1302.679690078608,133.3358915791142
12,Egeria,2.575981085345467,0.08512143168233768,16.53612545547192,43.2219134319274,80.54482261287181,2.356709887374239,2.795252283316696,4.1344924859019,61680,0,2385,6.74,N,N,222.792,,0.07,7.045,,0.745,0.452,,Ch,G,,1.43633,MBA,0.2383911173447329,1510.123380475669,187.4885222377125
13,Irene,2.585567306086946,0.1665823101852976,9.121645531812035,86.12266501597307,97.85898463552356,2.154857531099406,3.016277081074486,4.15759300972611,61526,0,2755,6.3,N,N,152,,0.159,15.028,,0.833,0.388,,S,S,,1.17966,MBA,0.2370665625668076,1518.560846802461,164.9358533166909
14,Eunomia,2.644100304490733,0.1860843620330185,11.75242982472844,292.9343386609643,98.49868083964806,2.152074586178265,3.136126022803201,4.29957066894305,61247,0,2501,5.28,N,N,231.689,,0.248,6.083,,0.839,0.451,,S,S,0.23,1.19485,MBA,0.2292383029047525,1570.418186831449,283.3876976906251
15,Psyche,2.923813680217348,0.1335684148335463,3.096005208804772,150.0456663982905,228.8230713564875,2.53328452168208,3.314342838752617,4.99957103079139,12856,0,2364,5.9,N,N,226 ,279 x 232 x 189,0.1203,4.196,1.53,0.729,0.299,,X,M,0.2,1.5358,MBA,0.1971421702576632,1826.093318996554,288.335892892198
16,Thetis,2.470354085478554,0.1330315938582089,5.591204997025656,125.5529454583,136.2082500236039,2.141718944093204,2.798989226863904,3.88281780566645,61117,0,3666,7.76,N,N,84.899,,0.193,12.27048,,0.829,0.438,,Sl,S,,1.12981,MBA,0.2538430420116977,1418.199203519671,303.3643632885675
17,Melpomene,2.29665350984091,0.2176743622521839,10.12873129564968,150.3838618286583,227.9508469405316,1.79673092177205,2.79657609790977,3.48057840367947,60906,0,5082,6.51,N,N,139.594,,0.181,11.57,,0.854,0.425,,S,S,0.25,0.813258,MBA,0.2831788769147128,1271.281261943927,267.2543806758699
18,Fortuna,2.442710697047048,0.1580468510700675,1.573782207412067,211.1440435363498,182.0650176105087,2.056647963303592,2.828773430790503,3.81782707610074,60970,0,3316,7.13,N,N,200,,0.037,7.4432,,0.719,0.324,,Ch,G,0.1,1.06213,MBA,0.2581642027575032,1394.461339545794,197.3386255195982
19,Massalia,2.409781791609093,0.1420667051541423,0.7087512033102101,206.1089108591462,256.7731963771298,2.067432032334743,2.752131550883443,3.74088863881228,59461,0,2481,6.5,N,N,135.680,,0.241,8.098,,0.854,0.463,,S,S,0.25,1.08461,MBA,0.2634738369759357,1366.359575326185,117.6951294117877
20,Lutetia,2.434958096420116,0.1633561118067609,3.064055490537624,80.86582891140033,249.9168934684853,2.037192809376534,2.832723383463699,3.79966615032788,56085,0,4822,7.35,N,N,95.76,,0.2212,8.1655,,0.686,0.189,,Xk,M,0.11,1.02791,MBA,0.2593981271966501,1387.828061407257,344.2934959463254
21,Kalliope,2.914849073772346,0.09767688894721704,13.71531190288359,66.05277031409484,356.0820815376883,2.630135684495586,3.199562463049106,4.97659514072536,60459,0,2977,6.45,N,N,167.536,,0.166,4.1483,0.491,0.715,0.234,,X,M,0.21,1.64321,MBA,0.1980523340751197,1817.701375149938,196.5714329438891
22,Thalia,2.625683427708691,0.2349839170984181,10.11425811491532,66.84681403363018,60.63681441400291,2.008690050805301,3.24267680461208,4.25472746636204,59343,0,2213,6.95,N,N,107.53,,0.2536,12.312,,0.859,0.442,,S,S,,1.04633,MBA,0.2316543870694277,1554.039207088734,335.8201924623511
23,Themis,3.13617131483923,0.1247427752533025,0.7515879347196438,35.92589903474867,106.9571689643557,2.744956601356386,3.527386028322075,5.55402550238208,60645,0,3662,7.08,N,N,198,,0.067,8.374,,0.684,0.336,,B,C,0.19,1.75813,MBA,0.1774616056308758,2028.607814745056,355.2073823996979
24,Phocaea,2.400160565260386,0.2546138983930167,21.60484031088786,214.1306086626264,90.26321459396635,1.789046326970252,3.011274803550519,3.71850736713822,58150,0,3132,7.83,N,N,61.054,,0.35,9.9341,,0.932,0.513,,S,S,,0.923495,MBA,0.2650596559463317,1358.184815847235,172.8714160968431
25,Proserpina,2.654330893820503,0.09014487637645932,3.563412724822086,45.77800293433459,193.4497779897228,2.415056563534837,2.893605224106169,4.32454872853967,57981,0,2320,7.4,N,N,94.80,,0.1966,13.11,,0.891,0.525,,S,S,,1.40287,MBA,0.2279142507663193,1579.541423099113,105.7236029870483
26,Euterpe,2.346664414107736,0.1732258472191981,1.583713443569795,94.78795586458595,356.4498667661177,1.94016148283478,2.753167345380692,3.59488236505114,60620,0,2698,7,N,N,96,,0.215,10.4082,,0.878,0.502,,S,S,,0.956809,MBA,0.2741748361364073,1313.030783834929,335.3160566116871
27,Bellona,2.775765930379437,0.1518626130240446,9.429548932055637,144.296169725839,344.1009091369476,2.354230863048898,3.197300997709976,4.62468826487103,59495,0,2738,7.09,N,N,120.90,,0.1763,15.706,,0.845,0.469,,S,S,,1.37086,MBA,0.2131227505331201,1689.167388744143,273.4480635757323
28,Amphitrite,2.554113562629857,0.0726955355107702,6.082523343833398,356.3417672264347,63.36324048192493,2.368440909439159,2.739786215820556,4.08195776735358,59923,0,2318,5.85,N,N,189.559,,0.216,5.3921,,0.838,0.449,,S,S,0.2,1.3871,MBA,0.2414592064744852,1490.935074525895,284.235314522542
29,Urania,2.365572136748604,0.1275809998460342,2.095744442650428,307.4686132654899,87.42620706748141,2.063770078334298,2.667374195162911,3.63841720347182,58325,0,3332,7.57,N,N,92.787,,0.192,13.686,,0.873,0.459,,Sl,S,,1.0709,MBA,0.2708942455601461,1328.931883568084,29.09793519168607
30,Euphrosyne,3.15540230940322,0.220857013438671,26.30334740932832,31.11858455633423,61.47037124729292,2.458509579150939,3.852295039655501,5.60518964267131,58017,0,2385,6.74,N,N,267.080,,0.053,5.53,,0.687,0.317,,Cb,C,,1.56992,MBA,0.1758417370688333,2047.295516985696,87.16714878525461
31,Pomona,2.588507764324736,0.08090139139834084,5.52395293096486,220.4415641601327,339.5357875143079,2.379093884545457,2.797921644104016,4.16468741241596,56904,0,2195,7.56,N,N,80.76,,0.2564,9.448,,0.857,0.429,,S,S,,1.37704,MBA,0.2366627277785992,1521.152077384929,31.92100283834002
32,Polyhymnia,2.873455536087202,0.3313462799924216,1.85284269455425,8.466368785624004,338.3718415619637,1.921346733481078,3.825564338693325,4.87096404816433,59810,0,2958,8.55,N,N,52.929,,0.24,18.608,,0.848,0.438,,Sq,S,0.33,0.913808,MBA,0.2023472712222131,1779.119618592021,342.0155730423168
33,Circe,2.687383409261727,0.105948046893706,5.496016775668756,184.3613101983665,330.6761444770549,2.402660385795898,2.972106432727556,4.40557551511931,56799,0,3250,8.51,N,N,132.992,,0.052,12.15,,0.707,0.357,,Ch,C,,1.41435,MBA,0.2237224807485485,1609.136456897328,126.6869610135558
34,Leukothea,2.994071834843048,0.2255881575743941,7.93271346132059,353.7389429763603,213.3967294408263,2.31864468597542,3.669498983710677,5.18085605590327,58307,0,3276,8.5,N,N,103.055,,0.066,31.9,,0.703,0.335,,C,C,,1.31998,MBA,0.1902439042375046,1892.307674418668,215.2502401397791
35,Atalante,2.746824002547545,0.3049059798985477,18.36926332492746,358.2100324656188,47.7965328841623,1.909300938441935,3.584347066653156,4.55254715472319,56148,0,1777,8.46,N,N,115.204,,0.036,9.93,,0.713,0.363,,,C,,0.959267,MBA,0.2164999614215934,1662.817848262647,299.7290349930391
36,Fides,2.642283305655383,0.1756051705967543,3.070810889266059,7.26914017985051,62.8434448124282,2.178284695000813,3.106281916309952,4.29513949857759,59923,0,2650,7.29,N,N,108.35,,0.1826,7.3335,,0.843,0.414,,S,S,0.24,1.19442,MBA,0.2294748013874672,1568.799701855463,341.5425481434469
37,Leda,2.739454926363413,0.1549825246139624,6.970974749496427,295.7200190363218,169.3124261080389,2.314887285809454,3.164022566917371,4.53423934377129,59638,0,2460,8.32,N,N,92.255,,0.055,12.838,,0.726,0.419,,Cgh,C,,1.33232,MBA,0.2173741191499996,1656.130920312464,4.928723318638514
38,Laetitia,2.769319009699727,0.1114755598748344,10.36898039874332,156.9531017190719,209.1324469003217,2.460607622621428,3.078030396778026,4.6085858553541,59781,0,5810,6,N,N,179.484,,0.269,5.138,,0.898,0.494,,S,S,,1.46215,MBA,0.2138674019108245,1683.285983668085,301.5493273507093
39,Harmonia,2.267246519451427,0.04702133026568632,4.257400416930347,94.1888600162034,269.7316159297505,2.160637572066574,2.373855466836281,3.41394341117436,56470,0,5137,7,N,N,111.251,,0.22,8.91,,0.854,0.432,,S,S,,1.16159,MBA,0.2887060986838419,1246.942830931435,107.5249429557182
40,Daphne,2.76043870917394,0.2754175355853726,15.79210017267455,178.0867413400021,45.8957250775969,2.000165482758786,3.520711935589093,4.58643629389907,55993,0,2654,7.12,N,N,205.495,,0.059,5.988,,0.726,0.363,,Ch,C,0.1,1.02633,MBA,0.2149002450287268,1675.195856346637,134.3491967668278
41,Isis,2.441703518969128,0.2228231523061669,8.514622308397911,84.19733428151501,237.3054379630882,1.897635443875366,2.985771594062889,3.81546607075487,59493,0,2754,7.53,N,N,110.997,,0.139,13.59,,0.874,0.462,,L,S,,0.899544,MBA,0.2583239544238842,1393.598982343215,203.4142795430018
42,Ariadne,2.203475093077904,0.1683218789751182,3.471396603710354,264.8102140126504,16.27151381304751,1.832582025136158,2.57436816101965,3.27092375613283,56701,0,2583,7.93,N,N,71.340,,0.234,5.76218,,0.863,0.49,,Sk,S,0.11,0.81586,MBA,0.30132964167066,1194.704901927518,137.9465664236955
43,Nysa,2.423451098520279,0.147922910861728,3.706552358884731,131.5475635948065,343.3326642381192,2.064967157696107,2.781935039344451,3.77276360072414,56780,0,2682,7.03,N,N,70.64,,0.482,6.422,,0.703,0.245,,Xc,E,0.46,1.08194,MBA,0.2612478245862999,1378.001905164491,82.70870773071685
44,Eugenia,2.720882625561881,0.0844383890139125,6.603527103738397,147.6084204892017,88.16802201453456,2.491135679963492,2.950629571160271,4.48820735817034,56048,0,3356,7.46,N,N,202.327,,0.045,5.699,,0.676,0.274,,C,FC,0.07,1.4906,MBA,0.2196035532033345,1639.317737571715,38.36482068578123
45,Hestia,2.525788445133676,0.1720022216428207,2.349673913916634,181.087488803956,177.4171672128639,2.091347221170918,2.960229669096434,4.01424301596764,56821,0,3401,8.36,N,N,112.414,,0.046,21.04,,0.692,0.226,,Xc,P,0.06,1.08671,MBA,0.2455322907574315,1466.202261582182,69.90043400706959
46,Aglaja,2.881429415366925,0.1298072805026775,4.975208070006325,3.081370264007187,314.6873004337399,2.507398898997724,3.255459931736125,4.89125359784234,58323,0,2953,7.84,N,N,168.174,,0.082,13.178,,0.665,0.3,,B,C,0.16,1.49661,MBA,0.2015079086887544,1786.530376611916,52.27884525065976
47,Doris,3.11008809457609,0.0724438865232663,6.547416659615668,183.5539792685335,253.0539187946353,2.884781225575258,3.335394963576922,5.48488136464353,58146,0,2829,6.9,N,N,216.473,,0.065,11.89,,0.716,0.442,,Ch,CG,,1.90839,MBA,0.1796987423868581,2003.35291843605,69.37479024927872
48,Pales,3.105045614871076,0.2220670204343255,3.195214934385568,285.0858073936042,112.2986914078243,2.415517386863988,3.794573842878165,5.47154756734509,56952,0,2759,7.8,N,N,166.252,,0.048,20.705,,0.749,0.411,,Ch,CG,,1.42463,MBA,0.1801366562633764,1998.482748972795,240.6294351215798
49,Virginia,2.6487938488856,0.2859855287089949,2.838219801068548,173.5287308608633,200.0805719230602,1.891277139570919,3.406310558200282,4.31102400447743,59008,0,2896,9.24,N,N,84.074,,0.05,14.315,,0.703,0.347,,Ch,X,,0.891422,MBA,0.2286292728465175,1574.601517635381,158.459363565319
50,Nemausa,2.365835370511375,0.06755935667808723,9.977178323434972,175.9784945764638,2.580538736988119,2.206001054873362,2.525669686149387,3.63902452857489,57028,0,5367,7.35,N,N,138.159,,0.105,7.783,,0.789,0.482,,Ch,CU,0.08,1.21015,MBA,0.2708490354016783,1329.153709061979,96.0449282839151
51,Europa,3.093091389167675,0.1103692571861618,7.478752247537128,128.6061582158011,343.5585250459793,2.751709190136326,3.434473588199024,5.43998034034055,58182,0,3179,6.31,N,N,303.918,,0.057,5.6304,,0.679,0.338,,C,CF,0.18,1.76943,MBA,0.1811819568645454,1986.952819309386,237.2039012360701
52,Kalypso,2.616773602009664,0.2055675539671132,5.171236716881636,143.5538596316308,313.2761609069267,2.078849853358825,3.154697350660503,4.23308926992857,56110,0,2828,8.81,N,N,90.893,,0.031,9.036,,0.705,0.318,,,XC,,1.09974,MBA,0.2328385300941663,1546.135855841411,64.33644621039768
53,Alexandra,2.71037790178851,0.1973389661747191,11.79829500020373,313.252386554295,344.9589147758778,2.175514728706761,3.245241074870259,4.46224050330965,56982,0,2414,7.66,N,N,154.137,,0.041,7.024,,0.727,0.357,,C,C,,1.16147,MBA,0.2208814793009289,1629.833343833849,18.36215889044283
54,Pandora,2.75983476603587,0.1429687112419512,7.180069870527598,10.38135148108336,5.370140140826897,2.36526474629499,3.154404785776751,4.58493120964888,56954,0,2890,7.7,N,N,84.794,,0.204,4.804,,0.704,0.242,,X,M,,1.36566,MBA,0.2149707898110507,1674.646124324255,1.044323670503362
55,Melete,2.595744872041014,0.2380827739019062,8.080990773256605,192.9849354797338,105.0371245299217,1.977742732563841,3.213747011518188,4.18216544495266,56213,0,2608,8.31,N,N,121.333,,0.057,18.147,,0.697,0.312,,Xk,P,,0.980357,MBA,0.2356736710540903,1527.535928768959,246.5129767905572
56,Mnemosyne,3.151209171387807,0.1134668535347681,15.2150901910628,199.2006563972965,210.7687811129155,2.793651381880529,3.508766960895085,5.59402045337933,58312,0,2607,7.03,N,N,112.59,,0.2149,12.463,,0.817,0.41,,S,S,,1.81222,MBA,0.1761928279636774,2043.215970596799,143.0886516450336
57,Concordia,2.700075757582706,0.04278237110554925,5.065410280430273,161.1075355296071,30.80176723262274,2.584560114508706,2.815591400656707,4.43682323558853,56705,0,3121,8.86,N,N,106.517,,0.044,9.895,,0.69,0.37,,Ch,C,,1.58633,MBA,0.2221468449456533,1620.54968679871,298.4645060038015
58,Elpis,2.71183615807797,0.119291448707093,8.641685581142685,170.0264279184272,211.0823939639798,2.388337294124572,3.035335022031369,4.46584219596128,57008,0,2355,7.93,N,N,165.119,,0.044,13.671,,0.662,0.285,,B,CP,,1.39378,MBA,0.2207033388369423,1631.148862074857,159.1576648938412
59,Echo,2.392299537572258,0.1845543486229983,3.600354409590799,191.5523541116641,271.2147545315426,1.95079025470451,2.833808820440006,3.70025399980087,58007,0,3165,8.21,N,N,43.218,,0.373,25.208,,0.854,0.452,,S,S,0.27,0.971724,MBA,0.2663671962574999,1351.517773427267,208.385882561402
60,Danae,2.985558303930569,0.1659587169233777,18.19649464790589,333.6550236522231,12.42664142091698,2.490078878510316,3.481037729350822,5.15877441692335,56240,0,2067,7.68,N,N,85.937,,0.203,11.45,,0.852,0.402,,S,S,,1.4837,MBA,0.1910582250183709,1884.242355781254,272.2201392137108
61,Erato,3.135443051394849,0.1677318330114165,2.233522772978567,125.1515107959676,276.3918182052702,2.609529441081482,3.661356661708217,5.55209102949486,41553,0,3106,8.76,N,N,106.921,,0.048,9.2213,,0.708,0.378,,Ch,BU,,1.61861,MBA,0.1775234372296002,2027.901248522996,239.8747208570639
62,Ausonia,2.395430898382691,0.1269055087621649,5.775580380063801,337.733287707539,295.9440874491897,2.091437521518826,2.699424275246556,3.70752145583148,57952,0,2627,7.55,N,N,116.044,,0.125,9.298,,0.916,0.5,,Sa,S,0.25,1.08249,MBA,0.2658450652570835,1354.172211742448,139.5563567729524
63,Angelina,2.681124845833428,0.1255294266046353,1.309694153364259,309.117476796476,178.8060575453647,2.344564781280516,3.01768491038634,4.39019446775482,57770,0,2646,7.67,N,N,58.292,,0.483,8.752,,0.734,0.254,,Xe,E,0.48,1.36002,MBA,0.2245062925131909,1603.518529347449,38.70045120364706
64,Cybele,3.425952865453392,0.1119429431855477,3.563530794176698,155.6163089342487,102.6307565800994,3.042441618479578,3.809464112427205,6.3413288817104,57769,0,3172,6.62,N,N,237.26,,0.0706,6.0814,,0.69,0.271,,Xc,P,0.01,2.02972,OMB,0.1554289805422788,2316.170374044724,261.0069806991717
65,Maja,2.646063567422346,0.1729405373377329,3.045599098553921,7.503745582551074,43.98524247906162,2.188451912242527,3.103675222602165,4.30436024959069,57912,0,2819,9.36,N,N,71.82,,0.0618,9.73509,,0.697,0.36,,Ch,C,,1.1999,MBA,0.228983223107611,1572.167581162998,19.07411141340741
66,Asia,2.421340541431656,0.1854269311045259,6.030227768661032,202.4413331563786,107.0212459436718,1.972358795675013,2.8703222871883,3.76783618601057,56814,0,2741,8.28,N,N,56.309,,0.228,15.853,,0.861,0.434,,S,S,,0.967588,MBA,0.2615894732969136,1376.20216694036,278.5327592407615
67,Leto,2.78302012604472,0.1862029502052109,7.968841693175382,44.13311374290322,304.4913178596117,2.264813568094716,3.301226683994726,4.64282936740197,56876,0,2472,6.78,N,N,122.509,,0.228,14.848,,0.845,0.488,,,S,0.05,1.26971,MBA,0.2122900079610493,1695.793426443568,261.609560601786
68,Hesperia,2.976722493654596,0.1703273489880466,8.591269359373253,184.9969793935379,289.1865971670816,2.469705242637322,3.483739744671871,5.1358901492715,57893,0,3156,7.05,N,N,138.13,,0.1402,5.655,,0.674,0.23,,X,M,0.19,1.50235,MBA,0.1919095336389472,1875.883877021415,301.0760313311494
69,Panopaea,2.615909299033509,0.180426166372141,11.59491852814683,47.69628588826195,255.3893484484807,2.143930812631659,3.087887785435359,4.23099220112246,55924,0,3141,8.11,N,N,127.911,,0.038,15.8052,,0.74,0.39,,Ch,C,0.14,1.1631,MBA,0.232953935274585,1545.36990145998,70.44627452375617
70,Niobe,2.756529552536628,0.1733221175934438,23.26242196875877,316.0043201994174,266.9750610645945,2.278762013282072,3.234297091791185,4.57669721756432,56731,0,2419,7.3,N,N,83.42,,0.3052,35.864,,0.803,0.439,,Xe,S,0.4,1.40954,MBA,0.2153575463950176,1671.638658715368,264.0528527223623
71,Feronia,2.266080903268269,0.1204878656212998,5.416017381744541,207.9632632046657,102.7844706703897,1.993045651908288,2.53911615462825,3.4113110312232,56377,0,2778,8.94,N,N,74.966,,0.083,8.097,,0.785,0.375,,,TDG,,0.986631,MBA,0.2889288822819946,1245.981354154273,6.863258084171097
72,Klytia,2.664796619611234,0.04292695886098113,2.370056484286863,7.0191079526356,52.64339223706678,2.550405004748301,2.779188234474167,4.35015073164862,56600,0,2773,9,N,N,44.590,,0.223,8.297,,,,,,S,,1.56277,MBA,0.2265729038299376,1588.89255473466,156.4350341675124
73,Galatea,2.783093828404418,0.2364369024460758,4.070962452070505,197.1968513051811,174.3052069112577,2.125067744399687,3.44111991240915,4.64301380179162,56887,0,3006,8.66,N,N,118.71,,0.0431,17.268,,0.686,0.32,,C,C,,1.12443,MBA,0.212281575167239,1695.86079110439,274.9099461214046
74,Eurydike,2.674602630154863,0.3036918951779823,4.991336412731273,359.3525330449152,339.2768389859259,1.862347488555116,3.486857771754609,4.37418456006962,56885,0,3274,8.96,N,N,62.377,,0.117,5.357,,0.71,0.266,,Xk,M,0.23,0.853735,MBA,0.2253280056733292,1597.670910565429,321.8867151958416
75,Freia,3.412680485050209,0.1658287387546342,2.121739706996199,204.3038776901044,252.4037839110119,2.84675998444178,3.978600985658639,6.3045144690673,56820,0,3207,7.9,N,N,145.423,,0.058,9.973,,0.704,0.298,,X,P,,1.86461,OMB,0.1563365883611607,2302.723909826833,284.1182815713163
76,Frigga,2.668110944586935,0.1322980569778512,2.422957846296691,1.149350485206131,61.83028415026648,2.315125050816744,3.021096838357126,4.3582689658135,51236,0,2817,8.52,N,N,61.390,,0.177,9.012,,0.746,0.249,,Xe,MU,0.16,1.32908,MBA,0.2261508619818702,1591.85773976338,283.3728442572483
77,Diana,2.619441852436042,0.2073652074419623,8.70097336546789,333.4009174286045,152.772506009583,2.076260749323484,3.1626229555486,4.23956546318921,57182,0,2509,8.09,N,N,120.60,,0.0706,7.2991,,0.713,0.38,,Ch,C,0.08,1.0957,MBA,0.2324828551240533,1548.501285429858,318.255167272489
78,Eurynome,2.446712333988616,0.1899614085030926,4.613126624235388,206.5830788386983,201.1851876031686,1.981931412822249,2.911493255154982,3.82721243623421,57004,0,2700,7.96,N,N,63.479,,0.287,5.978,,0.874,0.421,,S,S,0.25,0.99198,MBA,0.2575311143003508,1397.889342334545,228.7198473016684
79,Sappho,2.295864534731776,0.2000324844874352,8.675456519078793,218.6962037115934,139.6536723876442,1.836617047802789,2.755112021660763,3.47878502005117,56098,0,2328,7.98,N,N,68.563,,0.206,14.03,,0.901,0.523,,S,S,,0.842872,MBA,0.2833248613198466,1270.626228573689,97.26388192442758
80,Terpsichore,2.853597190980958,0.2106974047661263,7.802982899585655,0.959645244860648,51.67737713296108,2.252351668593362,3.454842713368554,4.82055681144415,56593,0,3154,8.48,N,N,117.727,,0.045,10.943,,0.701,0.346,,Cb,C,,1.27209,MBA,0.2044631609833226,1760.708375379974,347.1899456280588
81,Alkmene,2.762901331370549,0.2200857337455035,2.826411753324245,25.44859209357946,111.2202195714846,2.154826164589433,3.370976498151665,4.59257508903109,56574,0,2871,8.4,N,N,57.621,,0.167,12.999,,0.814,0.38,,Sq,S,0.28,1.17092,MBA,0.2146129925500026,1677.438051268605,175.6559618843786
82,Beatrix,2.432320401136028,0.08152139373284742,4.963962091013002,27.73795690117812,168.5024854305726,2.234034252030581,2.630606550241476,3.7934937770937,56418,0,2393,8.66,N,N,110.503,,0.05,10.16,,0.704,0.266,,X,X,,1.23261,MBA,0.2598201924882742,1385.573602083475,229.736283114753
83,Klio,2.36248979041079,0.2358436942418884,9.3153473897677,327.5144105275068,15.15479519616707,1.805311470631564,2.919668110190015,3.63130822057941,56142,0,2400,9.32,N,N,79.16,,0.0527,23.562,,0.733,0.445,,Ch,G,,0.797648,MBA,0.2714245730455481,1326.335327566631,107.3105593270039
84,Io,2.651765384015089,0.194545765099498,11.96206292367353,203.113542200887,123.0324743132932,2.135875658517509,3.167655109512668,4.31828048731892,56114,0,2619,7.61,N,N,154.79,,0.0666,6.875,,0.668,0.294,,B,FC,,1.1514,MBA,0.2282450818704231,1577.251947993234,220.680845379898
85,Semele,3.106672830096695,0.2148670434195606,4.820708481092045,86.09746467995437,308.9293439788636,2.43915122422194,3.774194435971451,5.47584922003149,53997,0,2851,8.54,N,N,109.929,,0.056,16.634,,0.703,0.321,,,C,,1.44908,MBA,0.1799951466453797,2000.053927616503,351.8745229245882
86,Sylvia,3.482566200923838,0.0930632455241293,10.87710615533188,73.04534320532564,263.5579675314772,3.158467287513229,3.806665114334447,6.49916066786459,45653,0,3506,6.94,N,N,253.051,,0.046,5.184,,0.71,0.251,,X,P,,2.17369,OMB,0.1516543956577398,2373.81843393754,92.81711224841432
87,Thisbe,2.769174121059052,0.1616429109296369,5.213931271164321,276.4610475923283,36.23247486211482,2.321556755260048,3.216791486858055,4.60822418358364,55982,0,3172,7.04,N,N,232,,0.0671,6.042,,0.681,0.305,,B,CF,0.14,1.30894,MBA,0.2138841870755238,1683.153883053925,49.12864535856343
88,Julia,2.550012155186965,0.1847480527505757,16.12960260320511,311.549384954264,45.381374145658,2.078902375025875,3.021121935348056,4.07212947541126,55791,0,2272,6.6,N,N,145.483,,0.189,11.387,,0.859,0.442,,K,S,0.15,1.10012,MBA,0.2420419805703782,1487.345290893963,137.4519053874797
89,Antiope,3.149874898158416,0.1660765238116088,2.206908627316459,69.97001692311889,244.8752024174472,2.62675462463082,3.672995171686011,5.59046793059317,55912,0,3932,8.27,N,N,115.974,,0.058,16.509,,0.688,0.317,,C,C,,1.61312,MBA,0.1763047915853043,2041.918411649155,145.1731119261582
