,name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
599,Musa,2.660643774255166,0.05641363133822642,10.20008560160013,139.23297810328,113.6726106040911,2.510547197251987,2.810740351258344,4.33998571777624,41403,0,2813,10.18,N,N,25.115,,0.227,5.8856,,0.84,0.44,,S,,,1.51488,MBA,0.227103577629417,1585.17978341777,15.70873222272344
600,Nerthus,3.135265879038969,0.1036789796841999,16.14268035534755,169.5639772589427,160.0865209260595,2.810204711661522,3.460327046416415,5.55162044377435,41400,0,2507,9.65,N,N,75.535,,0.043,13.59,,0.66,,,C,X,,1.80476,MBA,0.1775384850873314,2027.729367088581,82.75232968336691
601,Marianna,3.085147721223215,0.2500230023071814,15.10598374168971,331.4793363592765,45.86286904301601,2.313789825401828,3.856505617044602,5.41903738958445,41523,0,2048,8.31,N,N,110.444,,0.067,35.195,,0.692,0.333,,,C,,1.33939,MBA,0.1818821706714849,1979.303406545719,57.7702127914508
602,Timandra,2.538624624937534,0.1739849942881224,8.024229984470928,343.4445103372611,159.7370929007507,2.09694203406809,2.980307215806978,4.04488272943413,41347,0,2119,11.9,N,N,13.73,,0.1354,41.79,,,,,,,,1.11152,MBA,0.2436724002392634,1477.393416925815,330.8740466367944
603,Tekmessa,3.148177634564236,0.1978529250024115,4.419131987756203,12.16483010291778,28.77690655104398,2.525301481138529,3.771053787989943,5.5859500276443,39645,0,2736,9.5,N,N,64.536,,0.09,5.5596,,,,,Xc,,,1.53399,MBA,0.1764473864767484,2040.268247597079,168.1659215988079
604,Juvisia,3.003265796187738,0.1370688993939725,19.62701212322618,342.6985649578528,14.65235611298613,2.591611458916722,3.414920133458754,5.20473781668968,41337,0,2143,10,N,N,69.86,,0.0397,15.93,,,,,,,,1.58893,MBA,0.189370976614233,1901.030487545907,282.9227336226976
605,Brangane,2.587226664923148,0.2201582445572982,8.599495540467883,318.4746990035063,58.39151047032712,2.017627384101835,3.156825945744462,4.16159602608112,41315,0,2574,10.3,N,N,35.758,,0.096,12.295,,0.77,0.391,,K,TSD,,1.03284,MBA,0.2368385295426423,1520.02294852613,11.30805178847132
606,Jenny,2.853273061549292,0.07343195688878545,10.10980523736792,285.2449430379384,290.7580300454403,2.643751637101672,3.062794485996913,4.8197355112404,41144,0,2350,10,N,N,67.520,,0.039,8.521,,,,,,,,1.65586,MBA,0.204498002238695,1760.408395480555,280.5252937702033
607,Adolfine,3.020835276723576,0.124903745732406,9.382072992678976,293.8455191273102,71.17325929609054,2.643521635420212,3.39814891802694,5.25047710003828,41143,0,2132,10.9,N,N,20.365,,0.245,8.3458,,,,,,,,1.65868,MBA,0.1877212802928653,1917.736760788982,147.3739582083397
608,Fulvia,3.088039505569221,0.04087799625395196,4.184826251039394,165.2214736476894,109.52853791852,2.961806638228507,3.214272372909936,5.42665826893906,41341,0,3027,10.2,N,N,54.17,,0.0602,35.375,,,,,,,,1.94849,MBA,0.1816267460601036,1982.086932729992,0.1631077928739239
609,Valeska,3.097253996690038,0.2518996064312576,12.60051539768982,20.14633751181184,1.182535169351221,2.317056933906178,3.877451059473898,5.45096552496698,41219,0,1702,12.3,N,N,19.153,,0.074,4.9047,,,,,,,,1.31929,MBA,0.1808168257262143,1990.965157994189,277.3060157954518
610,Valeria,2.977298236452118,0.1225075292742523,13.44622417900629,189.4032182056385,256.8461658434058,2.61255678559178,3.342039687312455,5.13738025865038,43094,0,2683,9.19,N,N,57.468,,0.124,6.977,,0.817,0.414,,L,S,,1.66782,MBA,0.1918538698216758,1876.42813947205,263.5801315833673
611,Veronika,3.154912706383064,0.2587271434001981,20.94763142503565,202.9044170174656,122.3362050951418,2.338651154183586,3.971174258582542,5.60388511266943,41293,0,2410,10.8,N,N,38.767,,0.062,8.243,,,,,,,,1.39733,MBA,0.1758826713165877,2046.81903740251,78.56629334783663
